id,name,gender,gender_probability,age,age_group,country_id,country_name,country_probability,created_at
019dab39-2ad3-7802-ac5f-c956486836f4,zodwa girma,female,0.91,71,senior,RW,Rwanda,0.12,2026-04-20 14:09:03.700099+00:00
019dab39-2acb-7ae2-9817-abdafeb1a706,akosua adjei,female,0.92,6,child,NG,Nigeria,0.4,2026-04-20 14:09:03.691774+00:00
019dab39-2ac4-727b-ba76-9fb040b876de,william johnson,male,0.74,81,senior,AU,Australia,0.62,2026-04-20 14:09:03.685019+00:00
019dab39-2abf-72d4-93a0-aa83459f0aba,thabo ndebele,male,0.66,18,teenager,AO,Angola,0.68,2026-04-20 14:09:03.679294+00:00
019dab39-2ab9-7c59-a831-15075b532072,hauwa tadesse,female,0.92,7,child,KE,Kenya,0.62,2026-04-20 14:09:03.673366+00:00
019dab39-2ab4-7753-b702-91f2e00a0a42,akua traoré,female,0.82,68,senior,NG,Nigeria,0.44,2026-04-20 14:09:03.668780+00:00
019dab39-2aaf-7e41-9f54-9b7a962bfd0b,ekow amoah,male,0.87,42,adult,SN,Senegal,0.11,2026-04-20 14:09:03.663423+00:00
019dab39-2aa8-7cc3-a1ee-ecb54419363c,sharon wright,female,0.86,89,senior,GB,United Kingdom,0.38,2026-04-20 14:09:03.656798+00:00
019dab39-2aa4-7d37-abc2-12896df753bb,thabo tshuma,male,0.78,39,adult,ZA,South Africa,0.77,2026-04-20 14:09:03.652354+00:00
019dab39-2a9f-781c-830a-59d38f4c8ec9,betty taylor,female,0.95,83,senior,IN,India,0.84,2026-04-20 14:09:03.647536+00:00
019dab39-2a9b-75c9-b7a8-8c6627c0b92f,george martin,male,0.79,16,teenager,BR,Brazil,0.35,2026-04-20 14:09:03.643143+00:00
019dab39-2a96-7d5a-8022-e72a3efddf3a,bethlehem bekele,female,0.94,71,senior,MU,Mauritius,0.4,2026-04-20 14:09:03.638168+00:00
019dab39-2a91-7117-a3ab-0ee1ce9736f1,rakiya mnguni,female,0.8,6,child,SO,Somalia,0.52,2026-04-20 14:09:03.633730+00:00
019dab39-2a8c-7224-b360-2dea15bf2522,théodore amoah,male,0.66,51,adult,ML,Mali,0.8,2026-04-20 14:09:03.628261+00:00
019dab39-2a86-76b7-ae4a-35bc5dce442b,ryan torres,male,0.94,36,adult,GB,United Kingdom,0.51,2026-04-20 14:09:03.622924+00:00
019dab39-2a82-7ddc-b106-44f6347a3c18,joshua davis,male,0.84,42,adult,US,United States,0.43,2026-04-20 14:09:03.618741+00:00
019dab39-2a7d-7c58-a575-75d0f080ee70,akinyi ali,female,0.84,37,adult,UG,Uganda,0.17,2026-04-20 14:09:03.613356+00:00
019dab39-2a77-7383-a1f2-bccc7c00d5cb,adjoua amoah,female,0.98,18,teenager,ML,Mali,0.52,2026-04-20 14:09:03.607791+00:00
019dab39-2a73-79fd-82c4-09c49c585fd8,yusuf dlamini,male,0.86,58,adult,SO,Somalia,0.32,2026-04-20 14:09:03.603763+00:00
019dab39-2a6f-7be2-a598-bc225f2d76a4,paul tchalla,male,0.75,27,adult,SL,Sierra Leone,0.45,2026-04-20 14:09:03.599944+00:00
019dab39-2a6b-7b08-93fd-63492451e485,daniel roberts,male,0.67,34,adult,IN,India,0.57,2026-04-20 14:09:03.596011+00:00
019dab39-2a67-74d3-b283-4686121c0e7e,kamau omar,male,0.77,34,adult,MW,Malawi,0.43,2026-04-20 14:09:03.591282+00:00
019dab39-2a63-7d10-ac19-75d1c0712497,tigist ali,female,0.85,61,senior,MZ,Mozambique,0.3,2026-04-20 14:09:03.587535+00:00
019dab39-2a5f-77db-b5b7-34151c9605dc,aminata boateng,female,0.69,10,child,NG,Nigeria,0.72,2026-04-20 14:09:03.583811+00:00
019dab39-2a5b-780d-8c24-649ebda9d709,hauwa alemu,female,0.76,27,adult,MZ,Mozambique,0.73,2026-04-20 14:09:03.579475+00:00
019dab39-2a56-7ce1-afd0-a6862c268e72,richard camara,male,0.87,31,adult,NG,Nigeria,0.7,2026-04-20 14:09:03.574715+00:00
019dab39-2a52-7b54-85d1-4e34d85ee4fc,nomsa haile,female,0.79,21,adult,MG,Madagascar,0.8,2026-04-20 14:09:03.570711+00:00
019dab39-2a4e-7077-8665-6578ae6b1439,barbara garcia,female,0.72,58,adult,GB,United Kingdom,0.57,2026-04-20 14:09:03.566718+00:00
019dab39-2a4a-72c1-ac06-fef120af6bb0,emmanuel touré,male,0.71,38,adult,NG,Nigeria,0.51,2026-04-20 14:09:03.562254+00:00
019dab39-2a44-7453-9608-9a9af60fab6d,robert perez,male,0.91,15,teenager,DE,Germany,0.77,2026-04-20 14:09:03.556753+00:00
019dab39-2a40-779b-bb35-a9f15bdae72d,alexis amoah,male,0.87,67,senior,BJ,Benin,0.85,2026-04-20 14:09:03.552601+00:00
019dab39-2a3c-7d2b-92fb-2d2e5747e6f1,jessica parker,female,0.67,49,adult,US,United States,0.12,2026-04-20 14:09:03.548325+00:00
019dab39-2a37-7db0-bf1a-8ff06dbfe63d,tigist elmi,female,0.8,11,child,ER,Eritrea,0.21,2026-04-20 14:09:03.543384+00:00
